"75CSV  	",
1243.6,-51.618
1243.7,-51.748
1243.8,-51.659
1243.9,-51.628
1244,-51.408
1244.1,-51.575
1244.2,-51.697
1244.3,-51.694
1244.4,-51.84
1244.5,-51.764
1244.6,-51.942
1244.7,-51.567
1244.8,-51.657
1244.9,-51.57
1245,-51.572
1245.1,-51.581
1245.2,-51.738
1245.3,-51.715
1245.4,-51.762
1245.5,-51.645
1245.6,-51.59
1245.7,-51.896
1245.8,-51.706
1245.9,-51.423
1246,-51.624
1246.1,-51.507
1246.2,-51.789
1246.3,-51.708
1246.4,-51.582
1246.5,-51.673
1246.6,-51.921
1246.7,-51.729
1246.8,-51.85
1246.9,-52.057
1247,-51.769
1247.1,-51.784
1247.2,-52.092
1247.3,-51.671
1247.4,-51.76
1247.5,-51.726
1247.6,-51.88
1247.7,-51.839
1247.8,-51.701
1247.9,-51.768
1248,-51.765
1248.1,-51.84
1248.2,-51.949
1248.3,-51.743
1248.4,-51.9
1248.5,-51.95
1248.6,-51.72
1248.7,-51.884
1248.8,-51.884
1248.9,-51.822
1249,-51.879
1249.1,-51.635
1249.2,-51.816
1249.3,-51.806
1249.4,-51.653
1249.5,-51.846
1249.6,-51.817
1249.7,-51.558
1249.8,-51.904
1249.9,-51.665
1250,-51.896
1250.1,-51.693
1250.2,-51.735
1250.3,-51.927
1250.4,-52.008
1250.5,-51.905
1250.6,-51.697
1250.7,-51.809
1250.8,-51.755
1250.9,-51.967
1251,-51.719
1251.1,-51.49
1251.2,-51.849
1251.3,-51.706
1251.4,-51.809
1251.5,-51.907
1251.6,-51.991
1251.7,-51.765
1251.8,-51.788
1251.9,-51.696
1252,-51.89
1252.1,-51.863
1252.2,-51.938
1252.3,-51.98
1252.4,-51.889
1252.5,-52.121
1252.6,-51.799
1252.7,-52.129
1252.8,-52.182
1252.9,-51.821
1253,-51.694
1253.1,-52.017
1253.2,-52.007
1253.3,-52.036
1253.4,-51.82
1253.5,-52.062
1253.6,-52.16
1253.7,-52.12
1253.8,-52.188
1253.9,-51.761
1254,-52.116
1254.1,-51.889
1254.2,-51.973
1254.3,-51.867
1254.4,-52.059
1254.5,-52.144
1254.6,-51.975
1254.7,-51.747
1254.8,-51.9
1254.9,-51.804
1255,-52.017
1255.1,-52.032
1255.2,-51.874
1255.3,-51.746
1255.4,-51.921
1255.5,-52.095
1255.6,-51.811
1255.7,-51.801
1255.8,-51.816
1255.9,-51.851
1256,-51.727
1256.1,-51.84
1256.2,-51.865
1256.3,-51.84
1256.4,-51.908
1256.5,-51.965
1256.6,-51.813
1256.7,-52.024
1256.8,-52.072
1256.9,-51.943
1257,-52.003
1257.1,-51.737
1257.2,-52.076
1257.3,-51.973
1257.4,-51.967
1257.5,-52.066
1257.6,-52.083
1257.7,-52.052
1257.8,-52.169
1257.9,-51.847
1258,-51.974
1258.1,-52.073
1258.2,-51.937
1258.3,-52.062
1258.4,-52.115
1258.5,-52.02
1258.6,-52.084
1258.7,-51.956
1258.8,-52.13
1258.9,-51.999
1259,-51.712
1259.1,-51.859
1259.2,-52.033
1259.3,-52.156
1259.4,-52.063
1259.5,-52.085
1259.6,-51.964
1259.7,-52.013
1259.8,-51.96
1259.9,-52.136
1260,-52.023
1260.1,-51.961
1260.2,-52.075
1260.3,-52.28
1260.4,-52.147
1260.5,-52.059
1260.6,-52.145
1260.7,-52.153
1260.8,-52.236
1260.9,-51.881
1261,-52.079
1261.1,-52.079
1261.2,-52.037
1261.3,-52.115
1261.4,-52.089
1261.5,-52.21
1261.6,-52.262
1261.7,-52.249
1261.8,-52.066
1261.9,-52.15
1262,-52.281
1262.1,-52.112
1262.2,-52.135
1262.3,-52.045
1262.4,-52.313
1262.5,-52.244
1262.6,-52.185
1262.7,-52.103
1262.8,-52.144
1262.9,-52.191
1263,-52.106
1263.1,-52.365
1263.2,-52.318
1263.3,-52.331
1263.4,-52.361
1263.5,-52.284
1263.6,-52.262
1263.7,-52.363
1263.8,-52.14
1263.9,-52.214
1264,-52.258
1264.1,-52.146
1264.2,-52.321
1264.3,-52.08
1264.4,-52.298
1264.5,-52.311
1264.6,-52.294
1264.7,-52.305
1264.8,-52.298
1264.9,-52.27
1265,-52.309
1265.1,-52.327
1265.2,-52.441
1265.3,-52.442
1265.4,-52.216
1265.5,-52.416
1265.6,-52.565
1265.7,-52.147
1265.8,-52.209
1265.9,-52.215
1266,-52.562
1266.1,-52.539
1266.2,-52.5
1266.3,-52.242
1266.4,-52.401
1266.5,-52.306
1266.6,-52.431
1266.7,-52.472
1266.8,-52.497
1266.9,-52.342
1267,-52.34
1267.1,-52.553
1267.2,-52.314
1267.3,-52.415
1267.4,-52.624
1267.5,-52.469
1267.6,-52.488
1267.7,-52.485
1267.8,-52.466
1267.9,-52.362
1268,-52.659
1268.1,-52.707
1268.2,-52.561
1268.3,-52.529
1268.4,-52.687
1268.5,-52.496
1268.6,-52.53
1268.7,-52.421
1268.8,-52.62
1268.9,-52.635
1269,-52.518
1269.1,-52.718
1269.2,-52.48
1269.3,-52.377
1269.4,-52.567
1269.5,-52.663
1269.6,-52.81
1269.7,-52.667
1269.8,-52.662
1269.9,-52.583
1270,-52.713
1270.1,-52.813
1270.2,-52.712
1270.3,-52.767
1270.4,-52.834
1270.5,-52.747
1270.6,-52.772
1270.7,-52.744
1270.8,-52.454
1270.9,-52.798
1271,-52.755
1271.1,-52.554
1271.2,-52.486
1271.3,-52.41
1271.4,-52.678
1271.5,-52.747
1271.6,-52.854
1271.7,-52.821
1271.8,-52.8
1271.9,-52.792
1272,-52.88
1272.1,-52.807
1272.2,-52.856
1272.3,-52.949
1272.4,-52.844
1272.5,-52.94
1272.6,-52.704
1272.7,-52.715
1272.8,-52.71
1272.9,-52.939
1273,-52.863
1273.1,-52.816
1273.2,-52.879
1273.3,-52.605
1273.4,-52.889
1273.5,-52.837
1273.6,-52.899
1273.7,-52.914
1273.8,-52.91
1273.9,-52.935
1274,-52.727
1274.1,-52.883
1274.2,-52.884
1274.3,-52.91
1274.4,-53.222
1274.5,-52.977
1274.6,-52.984
1274.7,-53.072
1274.8,-53.124
1274.9,-52.937
1275,-53.075
1275.1,-52.878
1275.2,-52.874
1275.3,-52.866
1275.4,-53.02
1275.5,-53.059
1275.6,-52.778
1275.7,-53.068
1275.8,-53.124
1275.9,-52.947
1276,-52.844
1276.1,-53.016
1276.2,-53.032
1276.3,-53.356
1276.4,-53.133
1276.5,-52.979
1276.6,-53.099
1276.7,-53.19
1276.8,-53.451
1276.9,-53.236
1277,-53.106
1277.1,-53.209
1277.2,-52.986
1277.3,-53.176
1277.4,-52.981
1277.5,-53.251
1277.6,-53.407
1277.7,-53.479
1277.8,-53.17
1277.9,-53.207
1278,-53.322
1278.1,-53.363
1278.2,-53.387
1278.3,-53.444
1278.4,-53.516
1278.5,-53.525
1278.6,-53.337
1278.7,-53.461
1278.8,-53.608
1278.9,-53.498
1279,-53.536
1279.1,-53.364
1279.2,-53.488
1279.3,-53.399
1279.4,-53.499
1279.5,-53.266
1279.6,-53.877
1279.7,-53.386
1279.8,-53.669
1279.9,-53.549
1280,-53.736
1280.1,-53.285
1280.2,-53.452
1280.3,-53.434
1280.4,-53.514
1280.5,-53.551
1280.6,-53.789
1280.7,-53.714
1280.8,-53.396
1280.9,-53.449
1281,-53.704
1281.1,-53.7
1281.2,-53.655
1281.3,-53.587
1281.4,-53.613
1281.5,-53.704
1281.6,-53.513
1281.7,-53.461
1281.8,-53.95
1281.9,-53.596
1282,-53.825
1282.1,-53.908
1282.2,-53.584
1282.3,-53.738
1282.4,-53.589
1282.5,-53.778
1282.6,-53.732
1282.7,-53.891
1282.8,-53.819
1282.9,-53.643
1283,-53.653
1283.1,-53.688
1283.2,-53.905
1283.3,-54.128
1283.4,-53.995
1283.5,-53.799
1283.6,-54.094
1283.7,-53.733
1283.8,-53.877
1283.9,-54.176
1284,-54.037
1284.1,-53.77
1284.2,-53.951
1284.3,-54.106
1284.4,-54.134
1284.5,-53.989
1284.6,-53.877
1284.7,-54.057
1284.8,-54.135
1284.9,-53.862
1285,-54.048
1285.1,-53.945
1285.2,-53.939
1285.3,-54.237
1285.4,-54.42
1285.5,-54.376
1285.6,-54.246
1285.7,-53.806
1285.8,-54.014
1285.9,-54.404
1286,-54.143
1286.1,-54.185
1286.2,-54.128
1286.3,-54.178
1286.4,-53.978
1286.5,-54.322
1286.6,-54.355
1286.7,-54.248
1286.8,-54.195
1286.9,-54.22
1287,-54.177
1287.1,-54.733
1287.2,-54.337
1287.3,-54.345
1287.4,-54.33
1287.5,-54.451
1287.6,-54.306
1287.7,-54.081
1287.8,-54.25
1287.9,-54.487
1288,-54.732
1288.1,-54.461
1288.2,-54.661
1288.3,-54.558
1288.4,-54.471
1288.5,-54.51
1288.6,-54.678
1288.7,-54.505
1288.8,-54.352
1288.9,-54.68
1289,-54.459
1289.1,-54.565
1289.2,-54.42
1289.3,-54.425
1289.4,-54.829
1289.5,-54.45
1289.6,-54.34
1289.7,-54.462
1289.8,-54.889
1289.9,-54.66
1290,-54.568
1290.1,-54.82
1290.2,-54.561
1290.3,-54.855
1290.4,-54.808
1290.5,-54.693
1290.6,-54.813
1290.7,-54.425
1290.8,-54.88
1290.9,-54.811
1291,-54.982
1291.1,-54.667
1291.2,-54.662
1291.3,-54.686
1291.4,-54.675
1291.5,-55.088
1291.6,-54.891
1291.7,-54.809
1291.8,-54.812
1291.9,-55.013
1292,-54.727
1292.1,-55.184
1292.2,-54.854
1292.3,-54.828
1292.4,-54.925
1292.5,-54.843
1292.6,-55.186
1292.7,-55.065
1292.8,-54.852
1292.9,-55.024
1293,-54.934
1293.1,-55.056
1293.2,-54.912
1293.3,-54.833
1293.4,-54.865
1293.5,-55.062
1293.6,-55.073
1293.7,-54.833
1293.8,-55.095
1293.9,-54.914
1294,-54.879
1294.1,-54.943
1294.2,-54.941
1294.3,-54.724
1294.4,-55.272
1294.5,-54.958
1294.6,-54.978
1294.7,-55.246
1294.8,-55.044
1294.9,-55.001
1295,-55.195
1295.1,-55.166
1295.2,-55.587
1295.3,-55.02
1295.4,-55.284
1295.5,-55.507
1295.6,-55.161
1295.7,-55.06
1295.8,-55.177
1295.9,-55.05
1296,-55.16
1296.1,-55.119
1296.2,-55.059
1296.3,-55.241
1296.4,-55.277
1296.5,-54.965
1296.6,-55.426
1296.7,-55.356
1296.8,-55.065
1296.9,-55.286
1297,-55.432
1297.1,-55.211
1297.2,-55.498
1297.3,-55.251
1297.4,-55.314
1297.5,-55.422
1297.6,-55.798
1297.7,-56.105
1297.8,-55.56
1297.9,-55.497
1298,-55.691
1298.1,-55.724
1298.2,-55.419
1298.3,-55.22
1298.4,-55.487
1298.5,-55.184
1298.6,-55.438
1298.7,-55.515
1298.8,-55.627
1298.9,-55.405
1299,-55.664
1299.1,-55.52
1299.2,-55.307
1299.3,-55.558
1299.4,-55.935
1299.5,-55.777
1299.6,-55.705
1299.7,-55.658
1299.8,-55.547
1299.9,-56.01
1300,-55.919
1300.1,-55.775
1300.2,-55.659
1300.3,-55.878
1300.4,-55.686
1300.5,-55.672
1300.6,-55.989
1300.7,-55.756
1300.8,-55.692
1300.9,-56.074
1301,-55.771
1301.1,-55.843
1301.2,-55.653
1301.3,-56.171
1301.4,-56.102
1301.5,-56.131
1301.6,-55.951
1301.7,-55.913
1301.8,-56.204
1301.9,-56.194
1302,-55.685
1302.1,-56.129
1302.2,-56.057
1302.3,-56.11
1302.4,-56.016
1302.5,-55.902
1302.6,-56.254
1302.7,-56.144
1302.8,-55.809
1302.9,-56.037
1303,-55.675
1303.1,-56.121
1303.2,-56.044
1303.3,-55.894
1303.4,-55.811
1303.5,-55.867
1303.6,-56.386
1303.7,-55.825
1303.8,-55.783
1303.9,-55.806
1304,-55.95
1304.1,-56.047
1304.2,-55.924
1304.3,-56.009
1304.4,-56.31
1304.5,-56.206
1304.6,-56.182
1304.7,-56.388
1304.8,-55.988
1304.9,-56.342
1305,-56.218
1305.1,-56.309
1305.2,-56.425
1305.3,-56.143
1305.4,-56.263
1305.5,-56.389
1305.6,-56.166
1305.7,-56.345
1305.8,-56.11
1305.9,-56.161
1306,-56.007
1306.1,-56.043
1306.2,-56.423
1306.3,-55.97
1306.4,-56.501
1306.5,-56.347
1306.6,-56.368
1306.7,-55.756
1306.8,-56.526
1306.9,-56.483
1307,-56.185
1307.1,-56.182
1307.2,-56.367
1307.3,-56.721
1307.4,-56.547
1307.5,-56.236
1307.6,-55.935
1307.7,-56.279
1307.8,-56.671
1307.9,-56.242
1308,-56.806
1308.1,-56.398
1308.2,-56.49
1308.3,-56.447
1308.4,-56.041
1308.5,-56.609
1308.6,-56.868
1308.7,-56.167
1308.8,-56.6
1308.9,-56.14
1309,-56.64
1309.1,-56.644
1309.2,-56.444
1309.3,-56.763
1309.4,-56.45
1309.5,-56.443
1309.6,-56.33
1309.7,-56.714
1309.8,-56.894
1309.9,-56.373
1310,-56.572
1310.1,-56.366
1310.2,-56.463
1310.3,-56.835
1310.4,-56.797
1310.5,-56.765
1310.6,-56.814
1310.7,-56.38
1310.8,-56.929
1310.9,-56.887
1311,-56.483
1311.1,-56.358
1311.2,-56.604
1311.3,-56.658
1311.4,-56.828
1311.5,-56.657
1311.6,-56.537
1311.7,-56.835
1311.8,-57.019
1311.9,-56.86
1312,-56.444
1312.1,-57.002
1312.2,-56.723
1312.3,-56.706
1312.4,-57.06
1312.5,-56.668
1312.6,-56.63
1312.7,-56.901
1312.8,-56.701
1312.9,-56.469
1313,-56.817
1313.1,-56.951
1313.2,-56.584
1313.3,-57.086
1313.4,-56.636
1313.5,-56.554
1313.6,-56.742
1313.7,-56.738
1313.8,-56.936
1313.9,-56.741
1314,-57.078
1314.1,-56.746
1314.2,-56.597
1314.3,-56.465
1314.4,-56.68
1314.5,-56.419
1314.6,-56.79
1314.7,-56.747
1314.8,-57.344
1314.9,-56.679
1315,-56.817
1315.1,-56.887
1315.2,-57.108
1315.3,-56.712
1315.4,-56.796
1315.5,-56.968
1315.6,-56.679
1315.7,-56.846
1315.8,-56.816
1315.9,-56.781
1316,-56.92
1316.1,-57.056
1316.2,-56.9
1316.3,-56.766
1316.4,-57.581
1316.5,-56.574
1316.6,-56.865
1316.7,-56.89
1316.8,-57.092
1316.9,-57.03
1317,-56.735
1317.1,-56.983
1317.2,-56.833
1317.3,-57.343
1317.4,-56.637
1317.5,-56.515
1317.6,-56.617
1317.7,-57.471
1317.8,-56.383
1317.9,-57.284
1318,-57.169
1318.1,-56.866
1318.2,-57.237
1318.3,-56.657
1318.4,-56.964
1318.5,-56.711
1318.6,-56.888
1318.7,-56.94
1318.8,-57.105
1318.9,-56.894
1319,-56.913
1319.1,-57.137
1319.2,-57.032
1319.3,-56.797
1319.4,-57.488
1319.5,-57.102
1319.6,-57.098
1319.7,-57.173
1319.8,-56.979
1319.9,-56.556
1320,-57.187
1320.1,-57.277
1320.2,-57.174
1320.3,-57.197
1320.4,-57.06
1320.5,-57.146
1320.6,-57.104
1320.7,-57.293
1320.8,-56.906
1320.9,-56.531
1321,-57.236
1321.1,-57.001
1321.2,-57.386
1321.3,-56.92
1321.4,-57.102
1321.5,-57.212
1321.6,-56.964
1321.7,-56.978
1321.8,-56.864
1321.9,-56.982
1322,-57.131
1322.1,-57.232
1322.2,-57.09
1322.3,-56.915
1322.4,-57.284
1322.5,-57.054
1322.6,-56.761
1322.7,-57.324
1322.8,-57.119
1322.9,-57.953
1323,-57.358
1323.1,-57.117
1323.2,-57.089
1323.3,-57.161
1323.4,-57.497
1323.5,-57.39
1323.6,-57.415
1323.7,-57.253
1323.8,-56.761
1323.9,-57.413
1324,-57.36
1324.1,-57.135
1324.2,-57.154
1324.3,-57.295
1324.4,-57.187
1324.5,-57.051
1324.6,-57.341
1324.7,-57.185
1324.8,-57.032
1324.9,-57.236
1325,-57.569
1325.1,-57.605
1325.2,-57.495
1325.3,-57.572
1325.4,-57.298
1325.5,-57.03
1325.6,-57.307
1325.7,-56.895
1325.8,-57.141
1325.9,-57.429
1326,-56.993
1326.1,-56.928
1326.2,-57.005
1326.3,-56.442
1326.4,-57.317
1326.5,-56.84
1326.6,-56.829
1326.7,-57.265
1326.8,-57.497
1326.9,-56.949
1327,-57.344
1327.1,-57.095
1327.2,-56.978
1327.3,-56.921
1327.4,-56.881
1327.5,-57.447
1327.6,-56.858
1327.7,-57.142
1327.8,-57.226
1327.9,-57.125
1328,-57.22
1328.1,-57.255
1328.2,-57.027
1328.3,-57.044
1328.4,-56.767
1328.5,-57.357
1328.6,-56.923
1328.7,-57.532
1328.8,-57.075
1328.9,-56.91
1329,-56.847
1329.1,-57.307
1329.2,-57.009
1329.3,-56.784
1329.4,-57.656
1329.5,-56.951
1329.6,-56.609
1329.7,-56.784
1329.8,-56.808
1329.9,-56.94
1330,-57
1330.1,-57.117
1330.2,-57.262
1330.3,-57.158
1330.4,-57.126
1330.5,-57.166
1330.6,-56.77
1330.7,-57.038
1330.8,-57.153
1330.9,-56.942
1331,-57.064
1331.1,-56.422
1331.2,-56.994
1331.3,-57.216
1331.4,-57.265
1331.5,-57.19
1331.6,-56.642
1331.7,-57.096
1331.8,-57.114
1331.9,-57.201
1332,-57.657
1332.1,-57.285
1332.2,-56.705
1332.3,-56.739
1332.4,-56.89
1332.5,-56.935
1332.6,-56.989
1332.7,-57.319
1332.8,-56.692
1332.9,-56.928
1333,-56.938
1333.1,-57.32
1333.2,-56.767
1333.3,-57.324
1333.4,-57.209
1333.5,-57.017
1333.6,-57.064
1333.7,-57.01
1333.8,-56.891
1333.9,-57.066
1334,-57.052
1334.1,-56.771
1334.2,-56.931
1334.3,-56.952
1334.4,-56.952
1334.5,-56.597
1334.6,-56.638
1334.7,-56.65
1334.8,-56.933
1334.9,-56.992
1335,-56.811
1335.1,-56.842
1335.2,-56.897
1335.3,-56.598
1335.4,-56.966
1335.5,-56.631
1335.6,-56.539
1335.7,-56.915
1335.8,-56.783
1335.9,-56.863
1336,-56.483
1336.1,-56.694
1336.2,-56.874
1336.3,-56.992
1336.4,-56.527
1336.5,-56.862
1336.6,-57.214
1336.7,-56.693
1336.8,-56.803
1336.9,-56.721
1337,-56.674
1337.1,-57.331
1337.2,-56.65
1337.3,-56.67
1337.4,-56.515
1337.5,-56.441
1337.6,-56.844
1337.7,-56.174
1337.8,-56.791
1337.9,-56.434
1338,-56.577
1338.1,-56.62
1338.2,-56.483
1338.3,-56.801
1338.4,-56.503
1338.5,-56.882
1338.6,-56.58
1338.7,-56.485
1338.8,-56.701
1338.9,-56.601
1339,-56.289
1339.1,-56.137
1339.2,-56.518
1339.3,-56.57
1339.4,-56.427
1339.5,-56.608
1339.6,-56.469
1339.7,-56.463
1339.8,-56.201
1339.9,-56.2
1340,-56.563
1340.1,-56.255
1340.2,-56.513
1340.3,-56.3
